shortnam,africa,lat_abst,avexpr,logpgp95,other,asia,loghjypl,baseco
TJK,0.0,0.43333334,,6.8875527,0.0,1.0,,
TKM,0.0,0.44444445,,7.6401234,0.0,1.0,,
TTO,0.0,0.12222222,7.4545455,8.76873,0.0,0.0,-0.69715524,1.0
TUN,1.0,0.37777779,6.4545455,8.482602,0.0,0.0,-1.5278579,1.0
TUR,0.0,0.43333334,7.4545455,8.641179,0.0,1.0,-1.5232602,
TWN,0.0,,9.227273,,0.0,1.0,-0.809681,
TZA,1.0,0.06666667,6.6363635,6.253829,0.0,0.0,-3.4420192,1.0
UGA,1.0,0.011111111,4.4545455,6.9660244,0.0,0.0,-3.4420192,1.0
UKR,0.0,0.54444444,,7.8119736,0.0,0.0,,
URY,0.0,0.36666667,7.0,9.031214,0.0,0.0,-1.0788096,1.0
USA,0.0,0.42222223,10.0,10.21574,0.0,0.0,0.0,1.0
UZB,0.0,0.45555556,,7.8079166,0.0,1.0,,
VEN,0.0,0.08888889,7.1363635,9.071078,0.0,0.0,-0.7031975,1.0
VNM,0.0,0.17777778,6.409091,7.279319,0.0,1.0,,1.0
YEM,0.0,0.16666667,6.3636365,6.6463904,0.0,1.0,-1.551169,
YUG,0.0,0.4888889,6.318182,,0.0,0.0,-1.2039728,
ZAF,1.0,0.32222223,6.8636365,8.885994,0.0,0.0,-1.3862944,1.0
ZAR,1.0,0.0,3.5,6.8669333,0.0,0.0,-3.4112477,1.0
ZMB,1.0,0.16666667,6.6363635,6.8134446,0.0,0.0,-2.9759297,
ZWE,1.0,0.22222222,6.0,7.696213,0.0,0.0,-2.7333682,
