shortnam,africa,lat_abst,malfal94,avexpr,logpgp95,logem4,asia,yellow,baseco,leb95,imr95,meantemp,lt100km,latabs
GTM,0.0,0.17,0.0036000002,5.1363635,8.294049,4.26268,0.0,1.0,1.0,64.04,46.0,21.7,0.425458,0.17
GUY,0.0,0.055555556,0.49503002,5.8863635,7.904704,3.4713452,0.0,1.0,1.0,,,,,
HKG,0.0,0.24611111,0.0,8.136364,10.04975,2.7013612,1.0,0.0,1.0,,,22.6,1.0,0.246111
HND,0.0,0.16666667,0.012,5.318182,7.6870804,4.3579903,0.0,1.0,1.0,69.4,35.0,25.4,0.668602,0.166667
HRV,0.0,0.5011111,0.0,,8.418477,,0.0,0.0,,,,,,
HTI,0.0,0.21111111,1.0,3.7272727,7.1467724,4.8675346,0.0,1.0,1.0,53.75,67.7,26.58033,1.0,0.211111
HUN,0.0,0.5222222,0.0,9.0,8.809863,,0.0,0.0,,,,,,
IDN,0.0,0.0556,0.17873,7.590909,8.070906,5.1357985,1.0,1.0,1.0,65.13,48.4,26.8,0.74576,0.055556
IND,0.0,0.2222,0.23596,8.272727,7.326,3.8842406,1.0,0.0,1.0,62.59,72.3,25.9,0.156776,0.222222
IRL,0.0,0.5888889,0.0,9.727273,9.769384,,0.0,0.0,,,,,,
IRN,0.0,0.35555556,0.118999995,4.7727275,8.605204,,1.0,0.0,,,,,,
IRQ,0.0,0.36666667,0.0072799996,1.6363636,,,1.0,0.0,,,,,,
ISL,0.0,0.7222222,0.0,9.727273,9.943669,,0.0,0.0,,,,,,
ISR,0.0,0.34777778,0.0,8.545455,9.784141,,1.0,0.0,,,,,,
ITA,0.0,0.4722222,0.0,9.454545,9.897972,,0.0,0.0,,,,,,
JAM,0.0,0.20166667,0.0,7.090909,8.188689,4.8675346,0.0,1.0,1.0,74.82,21.9,26.5,1.0,0.201667
JOR,0.0,0.34444445,0.0,6.7727275,8.171882,,1.0,0.0,,,,,,
JPN,0.0,0.4,0.0,9.727273,10.034077,,1.0,0.0,,,,,,
KAZ,0.0,0.53333336,0.0,,8.131531,,1.0,0.0,,,,,,
KEN,1.0,0.011111111,0.798,6.0454545,7.056175,4.9767337,0.0,1.0,1.0,52.04,65.5,22.6,0.082504,0.011111
KGZ,0.0,0.45555556,0.0,,7.575585,,1.0,0.0,,,,,,
KOR,0.0,0.41111112,0.0,8.636364,9.415728,4.7706847,1.0,0.0,,,,,,
KWT,0.0,0.32555553,0.0,7.0454545,9.803667,,1.0,0.0,,,,,,
LAO,0.0,0.2,0.86300004,,7.090077,4.9416423,1.0,1.0,,,,,,
LBR,1.0,0.07,0.95,3.6363637,,6.1800165,0.0,1.0,,,,,,
LBY,1.0,0.2777778,0.0,5.2727275,,,0.0,0.0,,,,,,
LKA,0.0,0.07777778,0.138,6.0454545,7.7319307,4.245634,1.0,1.0,1.0,73.11,17.6,27.6,0.99362,0.077778
LSO,1.0,0.32555553,0.0,,7.3065314,,0.0,1.0,,,,,,
LTU,0.0,0.62222224,0.0,,8.237479,,0.0,0.0,,,,,,
LUX,0.0,0.54944444,0.0,10.0,10.28875,,0.0,0.0,,,,,,
LVA,0.0,0.6333333,0.0,,8.154788,,0.0,0.0,,,,,,
MAR,1.0,0.35555556,0.0,7.090909,8.042378,4.3592696,0.0,0.0,1.0,66.64,51.0,18.5,0.367858,0.355556
MDA,0.0,0.5222222,0.0,,7.377759,,0.0,0.0,,,,,,
MDG,1.0,0.22222222,0.95,4.4545455,6.8351846,6.284209,0.0,1.0,1.0,57.51,82.5,23.3,0.570964,0.222222
MEX,0.0,0.25555557,0.00042,7.5,8.943768,4.26268,0.0,1.0,1.0,72.18,31.0,19.0,0.37255,0.255556
MKD,0.0,0.4611111,0.0,,8.061487,,0.0,0.0,,,,,,
MLI,1.0,0.18888889,0.9405,4.0,6.565265,7.986165,0.0,1.0,1.0,53.3,118.0,29.3,0.0,0.188889
MLT,0.0,0.39444444,,7.2272725,9.427063,2.791165,0.0,0.0,1.0,,,,,
MMR,0.0,0.24444444,0.65436,5.7727275,,3.5438535,1.0,1.0,,,,,,
MNG,0.0,0.51111114,0.0,7.3636365,7.2997975,,1.0,0.0,,,,,,
MOZ,1.0,0.20166667,0.95,6.5,6.461468,,0.0,1.0,,,,,,
MRT,1.0,0.22222222,0.76,,7.4145727,5.6347895,0.0,1.0,,,,,,
MUS,1.0,0.22411111,0.0,,9.053686,3.4177268,0.0,1.0,,,,,,
MWI,1.0,0.14777778,0.95,6.818182,6.461468,,0.0,1.0,,,,,,
MYS,0.0,0.025555555,0.23331,7.9545455,8.8942585,2.8735647,1.0,1.0,1.0,72.0,11.4,26.7,0.794407,0.025556
NAM,1.0,0.24444444,0.5795,,8.515191,,0.0,1.0,,,,,,
NER,1.0,0.17777778,0.9405,5.0,6.733402,5.9914646,0.0,1.0,1.0,48.5,115.0,28.4,0.0,0.177778
NGA,1.0,0.11111111,0.95,5.5454545,6.8134446,7.6029005,0.0,1.0,1.0,50.08,81.1,26.65065,0.097769,0.111111
NIC,0.0,0.14444445,0.044,5.2272725,7.544332,5.095589,0.0,1.0,1.0,67.86,43.4,26.63333,0.632686,0.144445
NLD,0.0,0.5811111,0.0,10.0,9.896966,,0.0,0.0,,,,,,
NOR,0.0,0.6888889,0.0,9.954545,10.023933,,0.0,0.0,,,,,,
NPL,0.0,0.31111112,0.048,,6.937314,,1.0,1.0,,,,,,
NZL,0.0,0.45555556,0.0,9.727273,9.756147,2.1459312,0.0,0.0,1.0,76.9,6.8,12.8,0.959488,0.455556
OMN,0.0,0.23333333,0.63382,7.1363635,9.208339,,1.0,0.0,,,,,,
PAK,0.0,0.33333334,0.53757,6.0454545,7.3524413,3.6106477,1.0,1.0,1.0,63.95,74.1,23.5,0.094196,0.333333
PAN,0.0,0.1,0.08004,5.909091,8.836374,5.095589,0.0,1.0,1.0,73.6,21.4,27.5,1.0,0.1
PER,0.0,0.11111111,0.0005,5.7727275,8.396154,4.26268,0.0,0.0,1.0,68.32,45.0,20.5,0.173208,0.111111
PHL,0.0,0.14444445,0.617,5.4545455,8.098643,,1.0,0.0,,,,,,
PNG,0.0,0.06666667,0.60988,7.2727275,,5.1357985,1.0,0.0,,,,,,
POL,0.0,0.5777778,0.0,7.681818,8.655214,,0.0,0.0,,,,,,
PRK,0.0,0.44444445,0.0,,,,0.0,0.0,,,,,,
PRT,0.0,0.43666667,0.0,9.181818,9.489486,,0.0,0.0,,,,,,
PRY,0.0,0.25555557,0.0,6.9545455,8.207947,4.3579903,0.0,0.0,1.0,69.61,39.2,23.0,0.0,0.255556
QAT,0.0,0.2811111,0.0,7.7272725,9.685331,,1.0,0.0,,,,,,
ROM,0.0,0.51111114,0.0,7.2727275,8.387085,,0.0,0.0,,,,,,
RUS,0.0,0.6666667,0.0,8.454545,8.405144,,0.0,0.0,,,,,,
RWA,1.0,0.022222223,0.95,,6.4769726,5.6347895,0.0,1.0,,,,,,
SAU,0.0,0.2777778,0.104940005,7.590909,9.2399,,1.0,0.0,,,,,,
SDN,1.0,0.16666667,0.931,4.0,7.3065314,4.479607,0.0,1.0,1.0,54.97,70.9,28.5,0.02323,0.166667
SEN,1.0,0.15555556,0.95,6.0,7.4024515,5.103883,0.0,1.0,1.0,52.32,63.2,27.2,0.244762,0.155556
SGP,0.0,0.013555556,0.0,9.318182,10.146434,2.8735647,1.0,1.0,1.0,77.1,4.9,27.1,1.0,0.013556
SLE,1.0,0.09222222,0.95,5.818182,6.253829,6.1800165,0.0,1.0,1.0,37.24,170.0,26.2,0.466186,0.092222
SLV,0.0,0.15,0.0,5.0,7.948032,4.3579903,0.0,1.0,1.0,69.13,32.0,23.57101,1.0,0.15
SOM,1.0,0.11111111,0.95,3.0,,,0.0,1.0,,,,,,
STP,0.0,0.011111111,,8.409091,,,0.0,1.0,,,,,,
SUR,0.0,0.044444446,0.247,4.681818,8.01,3.4713452,0.0,1.0,,,,,,
SVK,0.0,0.5377778,0.0,,8.852236,,0.0,0.0,,,,,,
SVN,0.0,0.51111114,0.0,,9.300181,,0.0,0.0,,,,,,
SWE,0.0,0.6888889,0.0,9.5,9.866304,,0.0,0.0,,,,,,
SWZ,1.0,0.2922222,0.85499996,,8.10772,,0.0,1.0,,,,,,
SYR,0.0,0.3888889,0.098,5.818182,8.029433,,1.0,0.0,,,,,,
TCD,1.0,0.16666667,0.9405,,6.8351846,5.6347895,0.0,1.0,,,,,,
TGO,1.0,0.08888889,0.95,6.909091,7.222566,6.504288,0.0,1.0,1.0,48.84,83.9,26.8,0.16769,0.088889
THA,0.0,0.16666667,0.35615999,7.6363635,8.774931,4.9416423,1.0,0.0,,,,,,
TJK,0.0,0.43333334,0.0,,6.8875527,,1.0,0.0,,,,,,
TKM,0.0,0.44444445,0.0,,7.6401234,,1.0,0.0,,,,,,
TTO,0.0,0.12222222,0.0,7.4545455,8.76873,4.4426513,0.0,1.0,1.0,73.8,14.5,25.9,1.0,0.122222
TUN,1.0,0.37777779,0.0,6.4545455,8.482602,4.1431346,0.0,0.0,1.0,69.5,30.3,19.6,0.479655,0.377778
TUR,0.0,0.43333334,0.0,7.4545455,8.641179,,1.0,0.0,,,,,,
TWN,0.0,,0.0,9.227273,,,1.0,0.0,,,,,,
TZA,1.0,0.06666667,0.9215,6.6363635,6.253829,5.6347895,0.0,1.0,1.0,47.92,81.5,25.09024,0.088189,0.066667
UGA,1.0,0.011111111,0.95,4.4545455,6.9660244,5.6347895,0.0,1.0,1.0,39.64,107.0,21.57432,0.0,0.011111
UKR,0.0,0.54444444,0.0,,7.8119736,,0.0,0.0,,,,,,
URY,0.0,0.36666667,0.0,7.0,9.031214,4.26268,0.0,0.0,1.0,73.93,17.5,18.4,0.312329,0.366667
USA,0.0,0.42222223,0.0,10.0,10.21574,2.7080503,0.0,1.0,1.0,76.7,7.1,11.2,0.111732,0.422222
UZB,0.0,0.45555556,0.0,,7.8079166,,1.0,0.0,,,,,,
VEN,0.0,0.08888889,0.00704,7.1363635,9.071078,4.3579903,0.0,1.0,1.0,72.41,20.9,24.8,0.244409,0.088889
VNM,0.0,0.17777778,0.7011,6.409091,7.279319,4.9416423,1.0,1.0,1.0,67.39,38.2,25.55714,0.570282,0.177778
YEM,0.0,0.16666667,0.76788,6.3636365,6.6463904,,1.0,0.0,,,,,,
YUG,0.0,0.4888889,0.0,6.318182,,,0.0,0.0,,,,,,
ZAF,1.0,0.32222223,0.104499996,6.8636365,8.885994,2.74084,0.0,0.0,1.0,54.73,59.2,17.7,0.19633,0.322222
ZAR,1.0,0.0,0.95,3.5,6.8669333,5.480639,0.0,1.0,1.0,50.79,90.2,23.35455,0.003987,0.0
ZMB,1.0,0.16666667,0.95,6.6363635,6.8134446,,0.0,1.0,,,,,,
ZWE,1.0,0.22222222,0.608,6.0,7.696213,,0.0,1.0,,,,,,
